127.0.0.1 - - [13/Apr/2022:09:07:31 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:58 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:58 +0900] "GET /login HTTP/1.1" 200 22297
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/themefy_icon/themify-icons.css HTTP/1.1" 200 13867
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/owl_carousel/css/owl.carousel.css HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/niceselect/css/nice-select.css HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/select2/css/select2.min.css HTTP/1.1" 200 15197
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/swiper_slider/css/swiper.min.css HTTP/1.1" 200 19789
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 155497
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/tagsinput/tagsinput.css HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/datatable/css/jquery.dataTables.min.css HTTP/1.1" 200 14912
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/datatable/css/responsive.dataTables.min.css HTTP/1.1" 200 4858
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/gijgo/gijgo.min.css HTTP/1.1" 200 54081
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/font_awesome/css/all.min.css HTTP/1.1" 200 55985
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/css/metisMenu.css HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/morris/morris.css HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/text_editor/summernote-bs4.css HTTP/1.1" 200 28358
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/material_icon/material-icons.css HTTP/1.1" 200 57594
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/css/style.css HTTP/1.1" 200 106120
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/datatable/css/buttons.dataTables.min.css HTTP/1.1" 200 11290
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/css/colors/default.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/css/loading.css HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/js/loading.js HTTP/1.1" 200 10424
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 200 20969
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/js/metisMenu.js HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/vendors/count_up/jquery.counterup.min.js HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/js/sockjs.min.js HTTP/1.1" 200 57411
0:0:0:0:0:0:0:1 - - [13/Apr/2022:09:07:59 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 200 58037
